turn,index,name,level,attack,health,perk
1,0,ant,1,3,2,0
1,1,fish,1,3,3,0
1,2,horse,1,2,1,0
2,0,ant,1,3,2,0
2,1,ant,1,2,2,0
2,2,fish,1,2,3,0
2,3,cricket,1,2,3,1
2,4,horse,1,2,1,0
3,0,ant,2,4,4,0
3,1,fish,1,2,3,0
3,2,cricket,1,2,4,1
3,3,horse,1,2,1,0
3,4,badger,1,7,3,0
4,0,camel,1,3,4,0
4,1,ant,2,4,4,0
4,2,fish,1,2,3,0
4,3,cricket,2,3,5,1
4,4,badger,1,6,3,1
5,0,camel,1,3,4,0
5,1,ant,2,5,5,0
5,2,fish,1,2,3,0
5,3,cricket,2,3,5,1
5,4,badger,1,7,4,1
6,0,ant,2,7,7,0
6,1,elephant,1,3,7,0
6,2,camel,1,4,5,0
6,3,cricket,2,3,5,1
6,4,badger,1,7,4,1
7,0,ant,2,7,7,0
7,1,elephant,1,4,8,0
7,2,camel,1,6,7,4
7,3,cricket,2,3,5,1
7,4,badger,1,7,4,1
8,0,ant,3,8,8,0
8,1,elephant,1,4,8,0
8,2,camel,1,6,7,4
8,3,bison,1,5,6,0
8,4,badger,1,7,4,1
9,0,ant,3,9,9,0
9,1,elephant,1,4,8,0
9,2,camel,1,7,8,4
9,3,bison,1,8,10,0
9,4,badger,2,8,5,1
10,0,ant,3,9,9,0
10,1,elephant,1,8,14,0
10,2,camel,1,7,8,4
10,3,bison,1,9,12,4
10,4,skunk,1,3,5,0
11,0,ant,3,9,9,0
11,1,elephant,2,9,15,0
11,2,camel,1,9,10,4
11,3,bison,2,12,17,4
11,4,skunk,1,3,5,0
12,0,ant,3,11,11,0
12,1,elephant,2,9,15,0
12,2,camel,1,10,11,4
12,3,bison,2,16,25,4
12,4,monkey,1,1,2,0
13,0,ant,3,13,13,3
13,1,elephant,2,10,16,0
13,2,camel,2,12,13,4
13,3,bison,2,18,29,4
13,4,monkey,1,2,3,0
