turn,index,name,level,attack,health,perk
1,0,duck,1,2,3,0
1,1,fish,1,2,3,0
1,2,beaver,1,3,2,0
2,0,duck,1,3,3,0
2,1,fish,1,2,3,0
2,2,fish,1,2,3,0
2,3,mosquito,1,2,2,0
2,4,mosquito,1,3,2,0
3,0,rat,1,3,6,0
3,1,camel,1,3,4,0
3,2,mosquito,2,5,4,0
3,3,duck,1,3,3,0
3,4,fish,1,3,4,0
4,0,rat,1,3,6,3
4,1,camel,1,3,4,0
4,2,mosquito,2,7,6,0
4,3,duck,1,3,3,0
4,4,fish,1,3,4,0
5,0,rat,1,3,6,3
5,1,camel,1,4,5,0
5,2,mosquito,2,7,6,0
5,3,giraffe,1,2,4,0
5,4,fish,1,3,4,0
6,0,rat,1,4,7,3
6,1,camel,1,5,6,0
6,2,mosquito,2,8,7,0
6,3,giraffe,1,2,4,0
6,4,fish,1,3,4,0
7,0,rat,2,6,9,3
7,1,camel,1,7,8,0
7,2,mosquito,2,9,8,0
7,3,giraffe,1,2,4,0
7,4,crocodile,1,8,4,0
8,0,rat,2,6,9,3
8,1,camel,2,8,9,4
8,2,mosquito,2,10,9,0
8,3,giraffe,1,2,4,0
8,4,crocodile,1,8,4,0
9,0,rat,2,6,9,3
9,1,camel,2,8,9,4
9,2,mosquito,3,12,11,0
9,3,giraffe,2,3,5,0
9,4,bison,1,5,6,0
10,0,deer,1,2,2,0
10,1,camel,2,12,13,4
10,2,mosquito,3,15,14,0
10,3,bison,1,8,10,0
10,4,dragon,1,3,8,0
11,0,ant,1,3,3,0
11,1,camel,2,17,18,4
11,2,mosquito,3,18,17,0
11,3,bison,1,13,15,0
11,4,dragon,1,3,8,0
12,0,ant,1,3,3,0
12,1,camel,2,18,19,4
12,2,mosquito,3,18,17,0
12,3,bison,2,17,21,0
12,4,dragon,1,3,8,0
13,0,camel,2,21,23,4
13,1,mosquito,3,22,20,0
13,2,bison,2,23,28,0
13,3,dragon,1,4,9,0
13,4,otter,1,2,4,0
14,0,camel,2,24,26,4
14,1,mosquito,3,23,21,0
14,2,bison,2,26,33,0
14,3,dragon,1,4,9,0
14,4,skunk,1,3,5,0
15,0,camel,3,27,29,4
15,1,mosquito,3,25,23,0
15,2,bison,2,30,39,0
15,3,snake,1,8,3,0
15,4,dragon,1,4,9,0
