turn,index,name,level,attack,health,perk
1,0,fish,1,2,3,0
1,1,fish,1,2,3,0
1,2,cricket,1,1,3,0
2,0,beaver,1,3,2,0
2,1,fish,1,2,3,0
2,2,fish,1,2,3,0
2,3,fish,1,2,3,0
2,4,cricket,1,1,3,0
3,0,beaver,1,4,3,0
3,1,camel,1,3,4,0
3,2,fish,2,4,5,0
3,3,cricket,2,4,6,0
4,0,beaver,1,4,3,0
4,1,camel,1,3,4,0
4,2,fish,2,6,7,0
4,3,cricket,2,4,6,0
4,4,dolphin,1,4,3,0
5,0,beaver,1,6,5,0
5,1,camel,1,4,5,0
5,2,hippo,1,4,6,0
5,3,fish,3,7,8,0
5,4,dolphin,1,6,5,0
6,0,beaver,1,6,5,0
6,1,camel,2,6,7,0
6,2,hippo,1,4,6,0
6,3,fish,3,7,8,0
6,4,skunk,1,3,5,0
7,0,beaver,1,6,5,0
7,1,camel,2,7,8,4
7,2,hippo,1,5,7,0
7,3,fish,3,7,8,0
7,4,skunk,1,3,5,0
8,0,beaver,1,6,5,0
8,1,camel,3,10,13,4
8,2,hippo,2,6,8,0
8,3,skunk,1,4,6,0
9,0,beaver,1,6,5,0
9,1,camel,3,10,13,4
9,2,hippo,2,7,9,0
9,3,skunk,2,5,7,0
9,4,squirrel,1,2,5,0
10,0,beaver,1,6,5,0
10,1,camel,3,14,21,4
10,2,hippo,2,10,12,0
10,3,skunk,2,5,7,0
10,4,cow,1,4,6,0
11,0,camel,3,19,26,4
11,1,hippo,2,11,13,0
11,2,skunk,2,6,8,0
11,3,monkey,1,1,2,0
11,4,beaver,1,6,5,0
12,0,mammoth,1,6,14,0
12,1,camel,3,20,26,4
12,2,hippo,3,12,14,0
12,3,skunk,2,6,8,0
12,4,monkey,1,2,2,9
13,0,camel,3,23,29,4
13,1,hippo,3,13,15,7
13,2,skunk,2,6,8,0
13,3,monkey,1,2,2,9
13,4,penguin,1,1,2,0
14,0,camel,3,27,33,4
14,1,hippo,3,13,15,7
14,2,skunk,2,9,11,0
14,3,monkey,1,2,2,9
14,4,penguin,2,3,4,0
15,0,camel,3,29,35,4
15,1,hippo,3,15,17,7
15,2,skunk,2,11,13,3
15,3,monkey,1,3,3,9
15,4,penguin,2,3,4,0
