turn,index,name,level,attack,health,perk
1,0,fish,1,2,3,0
1,1,pigeon,1,3,1,0
1,2,pigeon,1,3,1,0
2,0,fish,1,2,3,0
2,1,fish,1,3,3,0
2,2,pigeon,1,3,1,0
2,3,pigeon,1,5,2,0
2,4,horse,1,2,1,0
3,0,fish,1,3,4,0
3,1,kangaroo,1,3,3,0
3,2,pigeon,1,5,3,0
3,3,horse,1,2,1,0
3,4,elephant,1,4,7,0
4,0,fish,1,3,4,1
4,1,kangaroo,1,3,4,0
4,2,pigeon,1,6,4,0
4,3,horse,1,2,1,0
4,4,elephant,1,3,7,0
5,0,fish,1,4,5,1
5,1,kangaroo,1,3,4,0
5,2,giraffe,1,2,3,3
5,3,pigeon,1,6,4,0
5,4,elephant,1,3,7,0
6,0,fish,1,4,5,1
6,1,kangaroo,1,4,5,4
6,2,giraffe,1,2,3,3
6,3,pigeon,1,7,5,0
6,4,dolphin,1,4,3,0
7,0,fish,1,6,7,1
7,1,kangaroo,1,5,6,4
7,2,giraffe,2,4,5,3
7,3,rooster,1,6,4,0
7,4,rabbit,1,1,2,0
8,0,fish,1,7,8,1
8,1,kangaroo,1,6,7,4
8,2,rooster,1,10,8,0
8,3,giraffe,2,4,5,3
8,4,horse,1,2,1,0
9,0,rooster,1,11,9,0
9,1,kangaroo,1,7,8,4
9,2,giraffe,2,4,5,3
9,3,sheep,1,2,2,0
9,4,shark,1,2,2,4
10,0,rooster,1,14,12,0
10,1,kangaroo,1,9,10,4
10,2,giraffe,2,4,5,3
10,3,sheep,1,3,3,0
10,4,shark,1,3,3,4
11,0,deer,1,2,2,9
11,1,rooster,1,15,13,0
11,2,kangaroo,1,10,11,4
11,3,sheep,1,4,4,0
11,4,shark,1,3,3,4
12,0,deer,1,3,3,9
12,1,rooster,1,15,13,0
12,2,kangaroo,1,10,11,4
12,3,sheep,2,5,5,0
12,4,shark,2,4,4,4
13,0,deer,2,4,4,8
13,1,rooster,2,16,14,0
13,2,kangaroo,1,10,11,4
13,3,sheep,2,5,5,0
13,4,shark,2,4,4,4
14,0,deer,2,4,4,8
14,1,rooster,2,16,14,0
14,2,kangaroo,2,11,12,4
14,3,sheep,2,6,6,0
14,4,shark,2,5,5,4
15,0,deer,2,4,4,5
15,1,rooster,2,16,14,4
15,2,kangaroo,2,11,12,4
15,3,sheep,2,6,6,0
15,4,shark,2,6,6,4
16,0,deer,2,4,4,5
16,1,rooster,2,16,14,4
16,2,kangaroo,2,13,14,4
16,3,sheep,2,6,6,1
16,4,shark,2,6,6,4
17,0,deer,2,5,5,5
17,1,rooster,2,16,14,4
17,2,kangaroo,2,13,14,4
17,3,sheep,2,6,6,1
17,4,shark,3,7,7,4
18,0,deer,2,5,5,5
18,1,rooster,2,18,16,7
18,2,kangaroo,2,13,14,4
18,3,sheep,2,6,6,1
18,4,shark,3,7,7,4
