turn,index,name,level,attack,health,perk
1,0,ant,1,2,2,0
1,1,duck,1,2,3,0
1,2,fish,1,2,3,0
2,0,ant,1,2,2,0
2,1,duck,1,2,3,0
2,2,duck,1,2,3,0
2,3,fish,1,2,3,0
2,4,fish,1,2,3,0
3,0,ant,1,2,2,0
3,1,fish,2,4,5,0
3,2,dodo,1,3,2,0
3,3,duck,1,4,5,0
3,4,duck,1,2,3,0
4,0,ant,1,3,3,0
4,1,fish,2,4,5,0
4,2,dodo,1,3,2,0
4,3,giraffe,1,1,2,0
4,4,duck,2,5,6,0
5,0,ant,2,5,5,0
5,1,fish,2,5,6,0
5,2,kangaroo,1,2,5,0
5,3,giraffe,1,1,2,3
5,4,penguin,1,1,4,0
6,0,fish,2,6,7,0
6,1,camel,1,3,4,4
6,2,kangaroo,1,3,6,0
6,3,giraffe,1,1,2,3
6,4,penguin,1,3,6,0
7,0,fish,2,7,8,0
7,1,camel,1,6,7,4
7,2,kangaroo,1,5,8,0
7,3,giraffe,1,1,2,3
7,4,penguin,1,5,8,0
8,0,fish,2,9,10,0
8,1,camel,1,4,5,4
8,2,kangaroo,1,6,9,0
8,3,giraffe,1,3,4,3
8,4,penguin,1,5,8,0
9,0,fish,2,9,10,0
9,1,camel,1,5,6,4
9,2,kangaroo,1,7,10,0
9,3,giraffe,2,4,5,3
9,4,hippo,1,5,7,0
10,0,fish,2,9,10,0
10,1,camel,1,8,9,4
10,2,kangaroo,1,9,12,0
10,3,giraffe,2,4,5,3
10,4,hippo,1,5,7,0
11,0,hippo,1,9,11,5
11,1,camel,1,9,10,4
11,2,kangaroo,1,10,13,0
11,3,giraffe,2,4,5,3
11,4,crocodile,1,10,6,0
