turn,index,name,level,attack,health,perk
1,0,duck,1,2,3,0
1,1,duck,1,2,3,0
1,2,mosquito,1,2,2,0
2,0,duck,1,2,3,0
2,1,duck,1,2,3,0
2,2,mosquito,1,3,3,0
2,3,mosquito,1,2,2,0
2,4,mosquito,1,2,2,0
3,0,duck,2,4,5,0
3,1,mosquito,2,4,4,0
3,2,giraffe,1,1,2,0
3,3,mosquito,1,2,2,0
3,4,elephant,1,3,7,0
4,0,duck,2,4,5,0
4,1,mosquito,2,7,7,0
4,2,giraffe,1,1,2,0
4,3,mosquito,1,2,2,0
4,4,elephant,1,3,7,0
5,0,elephant,1,3,7,0
5,1,camel,1,4,7,0
5,2,giraffe,1,1,2,0
5,3,mosquito,3,9,9,0
5,4,skunk,1,3,7,0
6,0,elephant,1,3,7,4
6,1,camel,1,5,8,4
6,2,giraffe,1,1,2,0
6,3,mosquito,3,9,9,0
6,4,skunk,1,3,7,0
7,0,elephant,1,3,7,4
7,1,camel,1,7,10,4
7,2,giraffe,1,3,4,0
7,3,mosquito,3,9,9,0
7,4,skunk,1,3,7,0
8,0,elephant,1,4,8,4
8,1,camel,1,9,12,4
8,2,kangaroo,1,2,3,0
8,3,mosquito,3,9,9,0
8,4,skunk,1,4,8,0
9,0,elephant,2,5,9,4
9,1,camel,1,9,12,4
9,2,kangaroo,1,2,3,0
9,3,skunk,1,4,8,0
9,4,parrot,2,6,4,0
10,0,elephant,2,7,11,4
10,1,camel,1,11,14,4
10,2,kangaroo,1,2,3,0
10,3,skunk,1,5,9,0
10,4,parrot,2,7,5,0
11,0,elephant,2,9,13,4
11,1,camel,1,12,15,4
11,2,kangaroo,1,3,4,0
11,3,skunk,1,5,9,3
11,4,parrot,2,8,6,0
12,0,elephant,2,11,15,4
12,1,camel,2,13,16,4
12,2,kangaroo,1,5,6,7
12,3,skunk,1,5,9,3
12,4,parrot,2,8,6,0
13,0,elephant,2,11,15,4
13,1,camel,2,15,18,4
13,2,kangaroo,1,7,8,7
13,3,skunk,1,7,11,3
13,4,parrot,2,8,6,0
14,0,elephant,2,11,15,4
14,1,camel,3,16,19,4
14,2,kangaroo,1,7,8,7
14,3,skunk,1,8,12,3
14,4,parrot,2,8,6,0
15,0,elephant,2,12,16,4
15,1,camel,3,16,19,4
15,2,kangaroo,2,9,10,7
15,3,skunk,1,8,12,3
15,4,parrot,2,8,6,0
16,0,elephant,2,12,16,7
16,1,camel,3,17,20,4
16,2,kangaroo,2,10,11,7
16,3,skunk,1,9,13,3
16,4,parrot,2,8,6,9
