turn,index,name,level,attack,health,perk
1,0,ant,1,4,2,0
1,1,horse,1,3,1,0
1,2,horse,1,2,1,0
2,0,ant,1,4,3,0
2,1,ant,1,2,3,0
2,2,otter,1,4,4,0
2,3,horse,1,2,1,0
2,4,horse,1,2,1,0
3,0,rat,1,4,6,0
3,1,ant,1,3,4,0
3,2,kangaroo,1,4,4,0
3,3,otter,1,2,4,0
3,4,horse,1,3,2,0
4,0,ant,1,3,5,0
4,1,rat,1,4,7,0
4,2,camel,1,3,4,0
4,3,kangaroo,1,3,4,0
4,4,otter,2,3,5,0
5,0,ant,1,3,5,0
5,1,rat,1,4,7,0
5,2,camel,1,3,4,4
5,3,kangaroo,1,3,4,0
5,4,ox,1,2,4,0
6,0,rat,1,5,9,0
6,1,camel,1,3,4,4
6,2,kangaroo,1,4,6,0
6,3,ox,1,4,6,0
6,4,rabbit,1,1,2,0
7,0,rat,1,5,9,0
7,1,camel,1,3,4,4
7,2,kangaroo,1,5,9,4
7,3,ox,1,4,6,0
7,4,rabbit,1,2,4,0
8,0,rat,1,5,9,0
8,1,camel,1,4,7,4
8,2,kangaroo,1,6,12,4
8,3,rabbit,1,2,5,0
8,4,rabbit,1,3,7,0
9,0,mammoth,1,4,12,0
9,1,rat,2,6,10,0
9,2,camel,1,5,8,4
9,3,kangaroo,1,6,12,4
9,4,rabbit,1,4,8,0
10,0,mammoth,1,5,14,0
10,1,rat,2,6,10,0
10,2,camel,1,7,11,4
10,3,kangaroo,1,8,15,4
10,4,rabbit,1,5,10,0
11,0,rat,2,10,18,0
11,1,camel,1,9,13,4
11,2,kangaroo,2,11,18,4
11,3,rabbit,1,7,12,0
11,4,leopard,1,10,4,0
