turn,index,name,level,attack,health,perk
1,0,duck,1,3,3,0
1,1,duck,1,3,3,0
1,2,horse,1,2,1,0
2,0,ant,1,4,2,0
2,1,duck,1,3,4,0
2,2,duck,1,4,3,0
2,3,horse,1,3,1,0
2,4,horse,1,2,1,0
3,0,ant,1,2,2,0
3,1,ox,1,3,3,0
3,2,kangaroo,1,3,3,0
3,3,duck,2,4,5,0
3,4,horse,1,3,2,0
4,0,ant,1,3,2,0
4,1,ox,1,2,3,7
4,2,kangaroo,1,2,3,0
4,3,duck,2,5,6,0
4,4,horse,1,4,3,0
5,0,ant,1,2,2,0
5,1,ox,1,3,4,7
5,2,kangaroo,1,2,4,4
5,3,duck,2,6,7,0
5,4,rabbit,1,1,2,0
6,0,ant,1,2,2,0
6,1,ox,1,3,4,7
6,2,kangaroo,1,3,6,4
6,3,giraffe,1,1,5,4
6,4,rabbit,1,2,5,0
7,0,deer,1,2,3,3
7,1,kangaroo,1,6,10,4
7,2,ox,1,3,4,7
7,3,giraffe,1,1,5,4
7,4,rabbit,1,2,5,0
8,0,deer,1,2,3,3
8,1,whale,1,4,9,4
8,2,kangaroo,1,6,10,4
8,3,giraffe,1,1,5,4
8,4,rabbit,1,2,5,0
9,0,deer,1,2,3,3
9,1,whale,1,6,12,4
9,2,kangaroo,1,8,13,4
9,3,giraffe,1,1,5,4
9,4,rabbit,1,3,7,0
10,0,deer,1,2,3,3
10,1,whale,1,6,12,4
10,2,kangaroo,2,8,13,4
10,3,penguin,1,2,3,0
10,4,rabbit,1,3,7,0
11,0,deer,1,3,4,3
11,1,whale,1,10,18,4
11,2,kangaroo,2,12,17,4
11,3,penguin,1,2,3,0
11,4,rabbit,1,3,7,0
