turn,index,name,level,attack,health,perk
1,0,beaver,1,3,2,0
1,1,fish,1,2,3,0
1,2,pig,1,4,1,0
2,0,beaver,1,3,2,0
2,1,fish,1,2,3,0
2,2,pig,1,4,1,0
2,3,cricket,1,2,3,1
2,4,horse,1,2,1,0
3,0,rat,1,3,6,0
3,1,peacock,1,2,5,0
3,2,fish,1,2,3,0
3,3,pig,1,6,2,0
3,4,cricket,1,2,3,1
4,0,rat,1,4,7,0
4,1,peacock,1,3,6,0
4,2,fish,1,3,4,0
4,3,pig,1,6,2,0
4,4,cricket,1,2,3,1
5,0,rat,1,4,7,0
5,1,peacock,2,5,8,0
5,2,giraffe,1,1,2,0
5,3,penguin,1,1,2,0
5,4,dolphin,1,4,3,0
6,0,rat,1,4,7,0
6,1,peacock,2,7,10,4
6,2,giraffe,1,1,2,0
6,3,penguin,1,1,2,0
6,4,dolphin,1,5,4,0
7,0,scorpion,1,1,1,10
7,1,rat,2,8,13,0
7,2,peacock,2,8,11,4
7,3,penguin,1,1,2,0
7,4,dolphin,2,7,6,0
8,0,scorpion,1,1,1,10
8,1,rat,2,9,14,0
8,2,peacock,2,14,17,4
8,3,dolphin,2,7,6,0
8,4,penguin,1,1,2,0
9,0,scorpion,1,2,2,10
9,1,rat,2,11,16,0
9,2,peacock,2,16,19,4
9,3,dolphin,2,7,6,0
9,4,penguin,1,2,3,0
10,0,scorpion,1,2,2,10
10,1,rat,2,11,16,0
10,2,peacock,2,20,23,4
10,3,dolphin,2,8,7,0
10,4,penguin,1,3,4,0
11,0,scorpion,1,2,2,10
11,1,rat,2,14,19,0
11,2,peacock,2,22,25,4
11,3,dolphin,2,8,7,0
11,4,penguin,2,4,5,0
12,0,scorpion,1,2,2,10
12,1,rat,3,17,22,7
12,2,peacock,2,24,27,4
12,3,dolphin,2,9,8,0
12,4,penguin,2,4,5,0
13,0,scorpion,1,2,2,10
13,1,rat,3,19,24,7
13,2,peacock,3,25,28,4
13,3,dolphin,2,12,11,0
13,4,penguin,2,5,6,0
14,0,scorpion,1,2,2,10
14,1,rat,3,24,29,7
14,2,peacock,3,29,32,4
14,3,dolphin,2,14,13,0
14,4,penguin,2,5,6,0
15,0,scorpion,1,2,2,10
15,1,rat,3,24,29,7
15,2,peacock,3,31,34,4
15,3,dolphin,2,15,14,0
15,4,penguin,2,6,7,9
16,0,scorpion,1,3,3,10
16,1,rat,3,27,32,7
16,2,peacock,3,34,37,4
16,3,dolphin,3,16,15,0
16,4,penguin,3,7,8,9
