turn,index,name,level,attack,health,perk
1,0,ant,1,2,2,0
1,1,mosquito,1,2,2,0
1,2,cricket,1,1,3,0
2,0,ant,1,2,2,0
2,1,mosquito,1,2,2,0
2,2,cricket,1,1,3,0
2,3,cricket,1,1,3,0
2,4,cricket,1,1,3,1
3,0,ant,1,2,2,0
3,1,mosquito,1,3,3,0
3,2,sheep,1,2,2,0
3,3,cricket,2,3,5,1
3,4,kangaroo,1,2,3,0
4,0,ant,1,2,2,0
4,1,mosquito,1,3,3,0
4,2,sheep,1,2,2,0
4,3,cricket,2,4,6,1
4,4,kangaroo,1,3,4,0
5,0,mosquito,2,5,5,3
5,1,sheep,1,2,2,0
5,2,cricket,2,5,7,1
5,3,kangaroo,1,3,4,0
5,4,penguin,1,1,2,0
6,0,mosquito,2,6,6,3
6,1,sheep,1,3,3,3
6,2,cricket,2,7,9,1
6,3,kangaroo,1,3,4,0
6,4,penguin,1,1,2,0
7,0,mosquito,2,9,9,3
7,1,sheep,1,4,4,3
7,2,cricket,2,8,10,1
7,3,kangaroo,1,3,4,0
7,4,penguin,1,1,2,0
8,0,cricket,2,8,10,1
8,1,whale,2,6,10,0
8,2,kangaroo,1,3,4,0
8,3,sheep,1,4,4,3
8,4,turkey,1,4,5,0
9,0,cricket,2,9,11,1
9,1,whale,2,6,10,4
9,2,kangaroo,1,3,4,0
9,3,sheep,1,5,5,3
9,4,turkey,1,6,7,0
10,0,cricket,2,9,11,1
10,1,whale,2,8,12,4
10,2,sheep,1,5,5,3
10,3,turkey,2,8,9,0
10,4,penguin,1,5,4,0
11,0,cricket,2,11,13,1
11,1,whale,2,8,12,4
11,2,sheep,1,5,5,3
11,3,turkey,2,10,11,0
11,4,penguin,2,7,6,0
12,0,cricket,2,13,15,1
12,1,whale,2,11,15,4
12,2,rooster,1,14,8,0
12,3,turkey,2,10,11,0
12,4,penguin,2,7,6,0
13,0,cricket,2,15,17,1
13,1,whale,3,12,16,4
13,2,rooster,1,16,10,0
13,3,turkey,2,12,13,0
13,4,penguin,2,8,7,0
14,0,cricket,2,17,19,1
14,1,whale,3,12,16,4
14,2,rooster,1,18,12,7
14,3,turkey,2,14,15,0
14,4,penguin,2,8,7,0
