turn,index,name,level,attack,health,perk
1,0,mosquito,1,2,3,0
1,1,otter,1,1,3,0
1,2,cricket,1,1,3,0
2,0,mosquito,1,2,3,0
2,1,otter,1,1,3,0
2,2,cricket,1,2,4,0
2,3,cricket,1,2,3,0
2,4,horse,1,2,1,0
3,0,cricket,2,3,5,0
3,1,spider,1,4,2,0
3,2,sheep,1,3,2,0
3,3,horse,1,2,1,0
3,4,horse,1,3,1,0
4,0,cricket,2,3,5,0
4,1,spider,1,2,2,1
4,2,sheep,1,2,2,1
4,3,horse,1,3,2,0
4,4,horse,1,3,1,0
5,0,cricket,2,3,5,0
5,1,whale,1,5,7,4
5,2,spider,1,2,2,1
5,3,sheep,1,2,2,1
5,4,horse,2,5,4,0
6,0,cricket,2,4,6,0
6,1,whale,1,4,8,4
6,2,spider,1,2,2,1
6,3,sheep,1,3,3,1
6,4,horse,2,5,4,0
7,0,cricket,2,4,6,0
7,1,whale,1,6,10,4
7,2,spider,1,2,2,1
7,3,sheep,1,3,3,1
7,4,horse,2,5,4,3
8,0,cricket,2,4,6,0
8,1,whale,1,7,11,4
8,2,sheep,2,4,4,1
8,3,horse,2,6,5,3
8,4,shark,1,5,3,0
9,0,cricket,2,6,8,0
9,1,whale,1,7,11,4
9,2,sheep,2,5,5,1
9,3,horse,2,7,6,3
9,4,shark,1,4,4,0
10,0,cricket,2,8,10,0
10,1,whale,1,8,12,4
10,2,sheep,2,6,6,1
10,3,horse,2,7,6,3
10,4,shark,1,5,5,0
11,0,cricket,2,8,10,0
11,1,whale,1,8,12,4
11,2,sheep,2,9,9,1
11,3,horse,2,7,6,3
11,4,shark,1,5,5,0
12,0,cricket,2,8,10,0
12,1,whale,1,9,13,4
12,2,sheep,2,9,9,1
12,3,horse,2,8,7,3
12,4,shark,1,7,7,4
13,0,cricket,2,8,10,0
13,1,whale,1,11,15,4
13,2,sheep,2,9,9,1
13,3,horse,2,10,9,1
13,4,shark,1,7,7,7
14,0,deer,1,5,3,0
14,1,whale,1,13,19,4
14,2,sheep,3,10,10,1
14,3,horse,2,10,9,1
14,4,shark,2,8,8,7
15,0,deer,1,4,4,0
15,1,whale,1,15,21,4
15,2,sheep,3,11,11,1
15,3,horse,2,10,9,1
15,4,shark,2,8,8,7
