turn,index,name,level,attack,health,perk
1,0,fish,1,2,3,0
1,1,beaver,1,3,2,0
1,2,beaver,1,3,2,0
2,0,fish,1,3,4,0
2,1,fish,1,2,3,0
2,2,duck,1,2,3,0
2,3,beaver,1,3,2,0
2,4,beaver,1,3,2,0
3,0,fish,1,4,5,1
3,1,kangaroo,1,2,3,0
3,2,duck,1,2,3,0
3,3,beaver,1,3,2,0
3,4,beaver,1,3,2,0
4,0,flamingo,1,4,4,0
4,1,fish,1,4,5,1
4,2,kangaroo,1,3,4,0
4,3,beaver,1,3,2,0
4,4,beaver,1,3,2,0
5,0,flamingo,1,4,4,0
5,1,fish,1,6,5,1
5,2,kangaroo,2,5,5,0
5,3,hippo,1,4,6,0
5,4,dolphin,1,5,3,0
6,0,fish,1,7,6,1
6,1,rat,1,3,6,0
6,2,hippo,1,5,7,4
6,3,kangaroo,2,5,5,0
6,4,dolphin,1,5,3,0
7,0,fish,2,9,8,1
7,1,rat,1,5,8,0
7,2,hippo,1,5,7,4
7,3,kangaroo,2,5,5,0
7,4,dolphin,1,7,5,0
8,0,fish,2,12,11,1
8,1,rat,1,6,9,0
8,2,hippo,1,6,8,4
8,3,kangaroo,2,5,5,0
8,4,monkey,1,1,2,0
9,0,leopard,1,12,6,0
9,1,rat,2,10,13,0
9,2,hippo,2,7,9,4
9,3,kangaroo,2,5,5,0
9,4,monkey,1,1,2,0
10,0,leopard,1,15,9,0
10,1,rat,2,8,11,0
10,2,hippo,2,9,11,4
10,3,kangaroo,2,6,6,0
10,4,monkey,1,3,4,0
11,0,leopard,1,18,12,5
11,1,rat,2,8,11,0
11,2,hippo,2,9,11,4
11,3,kangaroo,2,6,6,7
11,4,monkey,1,3,4,0
12,0,leopard,1,23,17,5
12,1,rat,2,8,11,0
12,2,hippo,2,11,13,4
12,3,kangaroo,2,7,7,7
12,4,monkey,1,3,4,0
