turn,index,name,level,attack,health,perk
1,0,ant,1,3,2,0
1,1,duck,1,3,3,0
1,2,horse,1,2,1,0
2,0,ant,1,2,2,0
2,1,duck,1,2,3,0
2,2,cricket,1,3,4,0
2,3,cricket,1,2,3,0
2,4,horse,1,2,1,0
3,0,ant,1,2,2,0
3,1,swan,1,2,3,0
3,2,cricket,2,4,6,0
3,3,ox,1,2,3,0
3,4,horse,1,2,1,0
4,0,ant,1,2,2,0
4,1,swan,1,1,3,0
4,2,cricket,2,5,7,0
4,3,ox,1,1,3,0
4,4,peacock,1,2,5,1
5,0,rat,1,3,6,3
5,1,peacock,1,3,6,4
5,2,cricket,2,5,7,0
5,3,ox,1,1,3,0
5,4,swan,1,1,3,0
6,0,rat,1,4,7,3
6,1,camel,1,3,4,4
6,2,peacock,1,4,7,4
6,3,cricket,2,5,7,0
6,4,ox,1,1,3,0
7,0,scorpion,1,1,1,10
7,1,rat,1,4,7,3
7,2,camel,1,5,6,4
7,3,peacock,2,5,8,4
7,4,cricket,2,5,7,0
8,0,scorpion,1,1,1,10
8,1,rat,1,4,7,3
8,2,camel,2,9,10,4
8,3,peacock,2,5,8,4
8,4,cricket,2,5,7,0
9,0,scorpion,1,1,1,10
9,1,rat,1,7,12,3
9,2,camel,2,11,14,4
9,3,peacock,2,6,9,4
9,4,cow,1,4,6,0
10,0,rat,2,9,14,3
10,1,camel,2,12,15,4
10,2,peacock,2,7,10,4
10,3,pigeon,1,4,2,0
10,4,dragon,1,3,8,0
11,0,rat,2,13,17,3
11,1,camel,2,15,18,4
11,2,peacock,2,10,13,4
11,3,fish,1,3,4,0
11,4,dragon,1,4,9,0
12,0,rat,2,18,22,3
12,1,camel,2,20,23,4
12,2,peacock,2,16,18,4
12,3,dragon,2,6,10,0
12,4,beaver,1,5,5,0
13,0,rat,2,21,25,3
13,1,camel,2,23,26,4
13,2,peacock,2,19,20,4
13,3,dragon,2,7,10,0
13,4,ant,1,4,4,0
14,0,rat,2,23,27,3
14,1,camel,2,25,28,4
14,2,peacock,3,23,24,4
14,3,dragon,2,7,10,0
14,4,pig,1,6,3,0
15,0,rat,2,32,36,3
15,1,camel,2,33,36,4
15,2,peacock,3,31,32,4
15,3,dragon,2,7,11,0
15,4,otter,1,3,5,0
