turn,index,name,level,attack,health,perk
1,0,ant,1,2,2,0
1,1,fish,1,2,3,0
1,2,cricket,1,1,3,0
2,0,ant,1,2,2,0
2,1,ant,1,3,3,0
2,2,fish,1,2,3,0
2,3,fish,1,2,3,0
2,4,cricket,1,1,3,0
3,0,ant,2,5,5,0
3,1,camel,1,3,4,0
3,2,fish,2,4,5,0
3,3,dodo,1,3,2,0
3,4,cricket,1,2,4,0
4,0,ant,2,6,6,0
4,1,camel,1,3,4,0
4,2,fish,2,4,5,0
4,3,dodo,1,3,2,0
4,4,cricket,1,3,5,0
5,0,ant,3,8,8,0
5,1,camel,1,3,4,0
5,2,kangaroo,1,2,3,0
5,3,fish,2,4,5,0
5,4,squirrel,1,2,5,0
6,0,ant,3,8,8,0
6,1,camel,1,3,4,0
6,2,kangaroo,1,2,3,0
6,3,fish,2,6,7,0
6,4,squirrel,1,2,5,0
7,0,ant,3,10,10,0
7,1,camel,1,4,5,4
7,2,kangaroo,1,4,5,0
7,3,fish,3,7,8,0
7,4,monkey,1,1,2,0
8,0,ant,3,12,12,0
8,1,camel,1,5,6,4
8,2,kangaroo,1,7,8,0
8,3,deer,1,3,3,0
8,4,monkey,1,1,2,0
9,0,hippo,1,6,8,0
9,1,ant,3,13,13,0
9,2,camel,1,5,6,4
9,3,kangaroo,1,8,9,0
9,4,monkey,1,3,4,0
10,0,hippo,1,8,10,4
10,1,ant,3,13,13,0
10,2,camel,2,6,7,4
10,3,kangaroo,1,8,9,4
10,4,monkey,1,3,4,0
11,0,hippo,1,13,15,4
11,1,ant,3,13,13,0
11,2,camel,2,9,10,4
11,3,kangaroo,1,9,10,4
11,4,monkey,2,4,5,0
12,0,hippo,1,17,19,4
12,1,ant,3,13,13,0
12,2,camel,2,11,12,4
12,3,kangaroo,1,9,10,4
12,4,monkey,2,7,8,0
13,0,hippo,1,22,24,4
13,1,ant,3,13,13,8
13,2,camel,2,11,12,4
13,3,kangaroo,1,9,10,4
13,4,monkey,2,7,8,0
14,0,hippo,1,26,28,4
14,1,ant,3,13,13,8
14,2,camel,2,14,15,4
14,3,kangaroo,2,10,11,4
14,4,monkey,2,7,8,0
