turn,index,name,level,attack,health,perk
1,0,fish,1,2,4,0
1,1,pigeon,1,3,1,0
1,2,otter,1,1,3,0
2,0,ant,1,2,2,0
2,1,fish,1,2,4,1
2,2,pigeon,1,3,1,0
2,3,pigeon,1,3,1,0
2,4,otter,1,1,3,0
3,0,elephant,1,3,7,0
3,1,ant,1,2,2,0
3,2,fish,1,2,4,1
3,3,pigeon,2,5,4,0
3,4,otter,1,2,4,0
4,0,elephant,1,5,7,0
4,1,ant,1,2,2,0
4,2,fish,1,3,5,1
4,3,otter,1,2,4,0
4,4,worm,1,1,3,0
5,0,elephant,1,7,9,4
5,1,peacock,1,2,5,0
5,2,fish,1,3,5,1
5,3,otter,1,2,4,0
5,4,worm,1,1,3,0
7,0,elephant,1,7,9,4
6,1,peacock,1,3,6,4
6,2,giraffe,1,1,2,0
6,3,otter,1,2,4,0
6,4,worm,1,2,4,0
7,0,elephant,1,7,9,4
7,1,peacock,1,4,7,4
7,2,giraffe,1,2,3,0
7,3,hippo,1,6,8,0
7,4,worm,1,2,4,0
8,0,elephant,1,7,9,4
8,1,peacock,2,8,11,4
8,2,hippo,1,7,9,0
8,3,worm,1,2,4,0
8,4,penguin,1,1,2,0
9,0,elephant,1,7,9,4
9,1,peacock,2,9,12,4
9,2,hippo,1,11,13,0
9,3,worm,1,3,5,0
9,4,penguin,1,1,2,0
10,0,elephant,1,10,12,4
10,1,peacock,2,11,14,4
10,2,hippo,1,11,13,0
10,3,penguin,1,2,3,0
10,4,monkey,1,1,2,0
